experiment,QQ,GE,GE_error-,GE_error+,GM,GM_error-,GM_error+,GE_GM,GE_GM_error-,GE_GM_error+
1,1.000,1.001,0.082,0.082,1.017,0.031,0.031,0.984,0.086,0.086
1,2.003,1.173,0.090,0.090,1.014,0.019,0.019,1.157,0.092,0.092
1,2.497,1.101,0.122,0.122,1.030,0.019,0.019,1.069,0.120,0.120
1,3.007,1.231,0.164,0.164,1.012,0.022,0.022,1.216,0.164,0.164
2,1.750,0.956,0.056,0.053,1.050,0.010,0.010,0.910,0.061,0.059
2,2.500,0.868,0.070,0.065,1.054,0.007,0.007,0.824,0.072,0.068
2,3.250,0.884,0.123,0.108,1.045,0.009,0.009,0.846,0.124,0.112
2,4.000,0.919,0.135,0.118,1.031,0.009,0.009,0.891,0.138,0.123
2,5.000,0.942,0.188,0.155,1.012,0.009,0.009,0.931,0.192,0.162
2,6.000,0.952,0.229,0.184,0.987,0.012,0.012,0.965,0.241,0.200
2,7.000,1.448,0.244,0.209,0.959,0.016,0.016,1.510,0.275,0.247
2,8.830,0.869,0.869,0.484,0.916,0.023,0.023,0.948,0.948,0.566
