n1,n2,n3,a1,a2,a3,b1,b2,b3
+1.012e+00,+1.014e+00,+9.750e-01,+1.970e-01,+7.032e-01,-4.541e-01,-4.444e-01,+3.974e-01,-8.068e-02
+1.244e-04,+1.100e-04,+8.529e-05,-1.606e-03,+2.244e-03,-8.651e-04,-2.571e-04,+1.835e-04,-3.579e-05
+1.100e-04,+1.167e-04,+8.761e-05,-1.335e-03,+2.054e-03,-8.665e-04,-2.691e-04,+1.886e-04,-3.536e-05
+8.529e-05,+8.761e-05,+1.276e-04,-1.067e-03,+2.652e-03,-1.045e-03,-3.131e-04,+1.956e-04,-3.446e-05
-1.606e-03,-1.335e-03,-1.067e-03,+4.440e-02,-7.078e-02,+2.657e-02,+1.005e-03,+1.060e-03,-6.552e-04
+2.244e-03,+2.054e-03,+2.652e-03,-7.078e-02,+1.817e-01,-8.287e-02,-8.102e-03,+3.484e-03,+1.294e-04
-8.651e-04,-8.665e-04,-1.045e-03,+2.657e-02,-8.287e-02,+4.369e-02,+4.897e-03,-3.425e-03,+4.273e-04
-2.571e-04,-2.691e-04,-3.131e-04,+1.005e-03,-8.102e-03,+4.897e-03,+1.829e-03,-1.768e-03,+4.366e-04
+1.835e-04,+1.886e-04,+1.956e-04,+1.060e-03,+3.484e-03,-3.425e-03,-1.768e-03,+2.032e-03,-5.636e-04
-3.579e-05,-3.536e-05,-3.446e-05,-6.552e-04,+1.294e-04,+4.273e-04,+4.366e-04,-5.636e-04,+1.709e-04
